seed,method,scope,threshold,positive_score_mean,negative_score_mean,positive_score_std,negative_score_std,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
1,B1,calibration_all,0.48168078064918524,0.41210379182464546,0.39895460733936894,0.04600352042406049,0.04355297907662443,432,13,14,131,274,0.09027777777777778,0.48148148148148145,0.15204678362573099,0.04861111111111111,0.568407600308642,0.568407600308642
1,B1,test_clear,0.48168078064918524,0.4388747898240884,0.4025291291375955,0.07098509871448902,0.05749095941891001,144,12,10,36,86,0.25,0.5454545454545454,0.34285714285714286,0.10416666666666667,0.646484375,0.646484375
1,B1,test_seen,0.48168078064918524,0.4192413153747718,0.39533818213062155,0.05383275762732149,0.04477230982178601,432,17,11,127,277,0.11805555555555555,0.6071428571428571,0.19767441860465115,0.03819444444444445,0.6284239969135802,0.6284239969135802
1,B1,test_unseen,0.48168078064918524,0.4018085094789664,0.3882412970686952,0.039200047730739505,0.03679175447259469,720,12,5,228,475,0.05,0.7058823529411765,0.0933852140077821,0.010416666666666666,0.5821267361111111,0.5821267361111111
1,B1,test_all,0.48168078064918524,0.4083458116898934,0.3909026289669176,0.04602571793896001,0.04011901201294571,1152,29,16,355,752,0.07552083333333333,0.6444444444444445,0.1351981351981352,0.020833333333333332,0.5993754069010416,0.5993754069010416
1,B2,train_actual,0.542667329311371,0.46865271163793903,0.2567411029206899,0.12286741816086354,0.12008984087150244,288,25,2,71,190,0.2604166666666667,0.9259259259259259,0.4065040650406504,0.010416666666666666,0.8871527777777778,0.8871527777777778
1,B2,calibration_clear,0.542667329311371,0.35027860493088764,0.28450986188060295,0.14173845555445463,0.13810968776070312,144,3,6,45,90,0.0625,0.3333333333333333,0.10526315789473684,0.0625,0.6304253472222222,0.6304253472222222
1,B2,calibration_seen,0.542667329311371,0.3521242616180744,0.30487166756453615,0.13388094638644754,0.13132422542206412,432,11,14,133,274,0.0763888888888889,0.44,0.1301775147928994,0.04861111111111111,0.5979456018518519,0.5979456018518519
1,B2,calibration_all,0.542667329311371,0.3521242616180744,0.30487166756453615,0.13388094638644754,0.13132422542206412,432,11,14,133,274,0.0763888888888889,0.44,0.1301775147928994,0.04861111111111111,0.5979456018518519,0.5979456018518519
1,B2,test_clear,0.542667329311371,0.4013923018549879,0.2835594683419913,0.15452817726218343,0.13609850869296056,144,9,4,39,92,0.1875,0.6923076923076923,0.29508196721311475,0.041666666666666664,0.7157118055555556,0.7157118055555556
1,B2,test_seen,0.542667329311371,0.3897147707434164,0.30098820838611573,0.13448710648060824,0.12598456072782716,432,16,7,128,281,0.1111111111111111,0.6956521739130435,0.19161676646706588,0.024305555555555556,0.6843894675925926,0.6843894675925926
1,B2,test_unseen,0.542667329311371,0.3691535843846699,0.30756016735297936,0.1161678120803066,0.1161121637075651,720,15,5,225,475,0.0625,0.75,0.11538461538461539,0.010416666666666666,0.6406336805555556,0.6406336805555556
1,B2,test_all,0.542667329311371,0.3768640292691998,0.3050956827404055,0.1237577410291498,0.11995180484696459,1152,31,12,353,756,0.08072916666666667,0.7209302325581395,0.1451990632318501,0.015625,0.6574503580729166,0.6574503580729166
2,B1,train_actual,0.647493064403534,0.6320540846015016,0.38599365355912596,0.13851917943479905,0.13265703172683832,288,44,9,52,183,0.4583333333333333,0.8301886792452831,0.5906040268456376,0.046875,0.8967013888888888,0.8967013888888888
2,B1,calibration_clear,0.647493064403534,0.5797274814297756,0.45471673443292576,0.1511938259393161,0.15203855988833503,144,14,10,34,86,0.2916666666666667,0.5833333333333334,0.3888888888888889,0.10416666666666667,0.7209201388888888,0.7209201388888888
2,B1,calibration_seen,0.647493064403534,0.5080006642060148,0.40603457929359543,0.14186416549824152,0.12930005750337908,432,24,14,120,274,0.16666666666666666,0.631578947368421,0.26373626373626374,0.04861111111111111,0.7109375,0.7109375
2,B1,calibration_all,0.647493064403534,0.5080006642060148,0.40603457929359543,0.14186416549824152,0.12930005750337908,432,24,14,120,274,0.16666666666666666,0.631578947368421,0.26373626373626374,0.04861111111111111,0.7109375,0.7109375
2,B1,test_clear,0.647493064403534,0.6048634902884563,0.4590427552660306,0.16041681624062185,0.16192024295268054,144,16,10,32,86,0.3333333333333333,0.6153846153846154,0.43243243243243246,0.10416666666666667,0.7486979166666666,0.7486979166666666
2,B1,test_seen,0.647493064403534,0.525186112564471,0.4116439315645645,0.14722565145096816,0.13528915361805008,432,23,15,121,273,0.1597222222222222,0.6052631578947368,0.25274725274725274,0.052083333333333336,0.7331211419753086,0.7331211419753086
2,B1,test_unseen,0.647493064403534,0.47470388070990643,0.3926370683281372,0.11929255759383152,0.11232841998839786,720,22,13,218,467,0.09166666666666666,0.6285714285714286,0.16,0.027083333333333334,0.7018055555555556,0.7018055555555556
2,B1,test_all,0.647493064403534,0.49363471765536815,0.39976464204179746,0.13273945500551199,0.12179655118240727,1152,45,28,339,740,0.1171875,0.6164383561643836,0.19693654266958424,0.036458333333333336,0.7125684950086806,0.7125684950086806
2,B2,train_actual,0.562356472015381,0.4134981508056323,0.3789067193865776,0.07073933422601389,0.053302498001381274,288,7,1,89,191,0.07291666666666667,0.875,0.1346153846153846,0.005208333333333333,0.6727430555555556,0.6727430555555556
2,B2,calibration_clear,0.562356472015381,0.41944285730520886,0.4210746918494503,0.07967414010174172,0.08361175239064969,144,5,7,43,89,0.10416666666666667,0.4166666666666667,0.16666666666666666,0.07291666666666667,0.4919704861111111,0.4919704861111111
2,B2,calibration_seen,0.562356472015381,0.4061437743819422,0.4067549453013473,0.06967326341624759,0.07363166992352978,432,8,14,136,274,0.05555555555555555,0.36363636363636365,0.0963855421686747,0.04861111111111111,0.4934895833333333,0.4934895833333333
2,B2,calibration_all,0.562356472015381,0.4061437743819422,0.4067549453013473,0.06967326341624759,0.07363166992352978,432,8,14,136,274,0.05555555555555555,0.36363636363636365,0.0963855421686747,0.04861111111111111,0.4934895833333333,0.4934895833333333
2,B2,test_clear,0.562356472015381,0.42373849513630074,0.4106212913369139,0.09757688680423586,0.08557121951834153,144,7,10,41,86,0.14583333333333334,0.4117647058823529,0.2153846153846154,0.10416666666666667,0.5210503472222222,0.5210503472222222
2,B2,test_seen,0.562356472015381,0.4056706329186757,0.3968491264515453,0.08189617232998687,0.07280805992518262,432,12,17,132,271,0.08333333333333333,0.41379310344827586,0.13872832369942195,0.059027777777777776,0.5237750771604939,0.5237750771604939
2,B2,test_unseen,0.562356472015381,0.39191046891113124,0.3865649065623681,0.07383781906796089,0.06689618165322653,720,13,14,227,466,0.05416666666666667,0.48148148148148145,0.09737827715355805,0.029166666666666667,0.5215798611111111,0.5215798611111111
2,B2,test_all,0.562356472015381,0.3970705304139604,0.39042148902080953,0.07724642646533325,0.06935132125564654,1152,25,31,359,737,0.06510416666666667,0.44642857142857145,0.11363636363636363,0.040364583333333336,0.5221405029296875,0.5221405029296875
3,B1,train_actual,0.8234480023384095,0.8173485513155659,0.2587534516933374,0.1644783676333036,0.21542122431214508,288,56,4,40,188,0.5833333333333334,0.9333333333333333,0.717948717948718,0.020833333333333332,0.9598524305555556,0.9598524305555556
3,B1,calibration_clear,0.8234480023384095,0.7343438764413198,0.354793951769049,0.2274335883041319,0.2572489215915678,144,22,9,26,87,0.4583333333333333,0.7096774193548387,0.5569620253164557,0.09375,0.8504774305555556,0.8504774305555556
3,B1,calibration_seen,0.8234480023384095,0.642474675964978,0.3406704963094348,0.224903348028044,0.224371288030265,432,38,14,106,274,0.2638888888888889,0.7307692307692307,0.3877551020408163,0.04861111111111111,0.8269917052469136,0.8269917052469136
3,B1,calibration_all,0.8234480023384095,0.642474675964978,0.3406704963094348,0.224903348028044,0.224371288030265,432,38,14,106,274,0.2638888888888889,0.7307692307692307,0.3877551020408163,0.04861111111111111,0.8269917052469136,0.8269917052469136
3,B1,test_clear,0.8234480023384095,0.7494365874057015,0.34974669030634686,0.2117412628656984,0.2630168713842759,144,22,9,26,87,0.4583333333333333,0.7096774193548387,0.5569620253164557,0.09375,0.8658854166666666,0.8658854166666666
3,B1,test_seen,0.8234480023384095,0.6752087217755616,0.3340078324545175,0.214052464901117,0.22691361200348106,432,45,17,99,271,0.3125,0.7258064516129032,0.4368932038834951,0.059027777777777776,0.8591338734567902,0.8591338734567902
3,B1,test_unseen,0.8234480023384095,0.609588315958778,0.33394757271744313,0.19906966160945413,0.20300533962762266,720,43,21,197,459,0.17916666666666667,0.671875,0.28289473684210525,0.04375,0.8349045138888889,0.8349045138888889
3,B1,test_all,0.8234480023384095,0.6341959681400718,0.333970170118846,0.2072657848840826,0.21228671894768833,1152,88,38,296,730,0.22916666666666666,0.6984126984126984,0.34509803921568627,0.049479166666666664,0.8448384602864584,0.8448384602864584
3,B2,train_actual,0.5426645278930665,0.46430053965499,0.3400527872533227,0.09491650663491759,0.07945410969294142,288,17,1,79,191,0.17708333333333334,0.9444444444444444,0.2982456140350877,0.005208333333333333,0.8478732638888888,0.8478732638888888
3,B2,calibration_clear,0.5426645278930665,0.44739264994859695,0.4059750591404736,0.11978548895862252,0.10342677722594397,144,9,9,39,87,0.1875,0.5,0.2727272727272727,0.09375,0.5924479166666666,0.5924479166666666
3,B2,calibration_seen,0.5426645278930665,0.40902559666170013,0.3782212514326804,0.10968427127456558,0.09106151686416407,432,17,14,127,274,0.11805555555555555,0.5483870967741935,0.19428571428571428,0.04861111111111111,0.5717351466049383,0.5717351466049383
3,B2,calibration_all,0.5426645278930665,0.40902559666170013,0.3782212514326804,0.10968427127456558,0.09106151686416407,432,17,14,127,274,0.11805555555555555,0.5483870967741935,0.19428571428571428,0.04861111111111111,0.5717351466049383,0.5717351466049383
3,B2,test_clear,0.5426645278930665,0.47083407764633495,0.39705964845294756,0.1227018653487976,0.10344908876840539,144,14,10,34,86,0.2916666666666667,0.5833333333333334,0.3888888888888889,0.10416666666666667,0.6770833333333334,0.6770833333333334
3,B2,test_seen,0.5426645278930665,0.4229750314520465,0.36683288113110596,0.10722267097003572,0.09067911403409233,432,22,16,122,272,0.1527777777777778,0.5789473684210527,0.24175824175824176,0.05555555555555555,0.6641830632716049,0.6641830632716049
3,B2,test_unseen,0.5426645278930665,0.3902340527623892,0.3502280445769429,0.08627673213493348,0.07866845812301497,720,18,14,222,466,0.075,0.5625,0.1323529411764706,0.029166666666666667,0.6456336805555556,0.6456336805555556
3,B2,test_all,0.5426645278930665,0.4025119197710107,0.35645485828475404,0.09599376474521636,0.0837620982326163,1152,40,30,344,738,0.10416666666666667,0.5714285714285714,0.1762114537444934,0.0390625,0.6511637369791666,0.6511637369791666
4,B1,train_actual,0.4150150418281556,0.34259013272821903,0.28942389801765483,0.06725183160833631,0.0622200074927765,288,16,3,80,189,0.16666666666666666,0.8421052631578947,0.2782608695652174,0.015625,0.7154405381944444,0.7154405381944444
4,B1,calibration_clear,0.4150150418281556,0.31113917908320826,0.31621694487209123,0.070012038884136,0.07144666895023184,144,5,8,43,88,0.10416666666666667,0.38461538461538464,0.16393442622950818,0.08333333333333333,0.4670138888888889,0.4670138888888889
4,B1,calibration_seen,0.4150150418281556,0.310964393015537,0.3136552062092556,0.05967596899557162,0.05962535390811119,432,11,14,133,274,0.0763888888888889,0.44,0.1301775147928994,0.04861111111111111,0.47393422067901236,0.47393422067901236
4,B1,calibration_all,0.4150150418281556,0.310964393015537,0.3136552062092556,0.05967596899557162,0.05962535390811119,432,11,14,133,274,0.0763888888888889,0.44,0.1301775147928994,0.04861111111111111,0.47393422067901236,0.47393422067901236
4,B1,test_clear,0.4150150418281556,0.3243743497878313,0.3079259395599365,0.07743834331982459,0.06696995106444709,144,7,11,41,85,0.14583333333333334,0.3888888888888889,0.21212121212121213,0.11458333333333333,0.5362413194444444,0.5362413194444444
4,B1,test_seen,0.4150150418281556,0.319589482102957,0.30715512748186785,0.06398118708613816,0.05575298517540992,432,13,14,131,274,0.09027777777777778,0.48148148148148145,0.15204678362573099,0.04861111111111111,0.5359278549382716,0.5359278549382716
4,B1,test_unseen,0.4150150418281556,0.3097989814355969,0.3004800411872566,0.0570923545404682,0.05025024563002581,720,15,7,225,473,0.0625,0.6818181818181818,0.11450381679389313,0.014583333333333334,0.5285243055555555,0.5285243055555555
4,B1,test_all,0.4150150418281556,0.313470419185857,0.3029831985477358,0.059956429707796244,0.0524811465602756,1152,28,21,356,747,0.07291666666666667,0.5714285714285714,0.12933025404157045,0.02734375,0.5311618381076388,0.5311618381076388
4,B2,train_actual,0.3530648052692414,0.282706026143084,0.2402157282534366,0.05073407708969401,0.043947831483146044,288,11,0,85,192,0.11458333333333333,1.0,0.205607476635514,0.0,0.7418077256944444,0.7418077256944444
4,B2,calibration_clear,0.3530648052692414,0.26790282720079023,0.27089708888282377,0.06612776965828666,0.06208684426336122,144,8,11,40,85,0.16666666666666666,0.42105263157894735,0.23880597014925373,0.11458333333333333,0.4624565972222222,0.4624565972222222
4,B2,calibration_seen,0.3530648052692414,0.2613873425871134,0.26157709723338485,0.05371771988477323,0.04927438388833126,432,14,14,130,274,0.09722222222222222,0.5,0.16279069767441862,0.04861111111111111,0.47183641975308643,0.47183641975308643
4,B2,calibration_all,0.3530648052692414,0.2613873425871134,0.26157709723338485,0.05371771988477323,0.04927438388833126,432,14,14,130,274,0.09722222222222222,0.5,0.16279069767441862,0.04861111111111111,0.47183641975308643,0.47183641975308643
4,B2,test_clear,0.3530648052692414,0.27982371393591166,0.26429114940886694,0.07340198396332132,0.06458907144962016,144,8,14,40,82,0.16666666666666666,0.36363636363636365,0.22857142857142856,0.14583333333333334,0.5512152777777778,0.5512152777777778
4,B2,test_seen,0.3530648052692414,0.2663432147560848,0.25492867092705435,0.055294227386226066,0.049079643186838405,432,12,16,132,272,0.08333333333333333,0.42857142857142855,0.13953488372093023,0.05555555555555555,0.5439332561728395,0.5439332561728395
4,B2,test_unseen,0.3530648052692414,0.25056666464855276,0.2417777589832743,0.04261633169851626,0.039453758545652744,720,8,3,232,477,0.03333333333333333,0.7272727272727273,0.06374501992031872,0.00625,0.5400173611111111,0.5400173611111111
4,B2,test_all,0.3530648052692414,0.2564828709388773,0.24670935096219182,0.048373288094822844,0.04378028109523515,1152,20,19,364,749,0.052083333333333336,0.5128205128205128,0.09456264775413711,0.024739583333333332,0.5406663682725694,0.5406663682725694
