seed,method,scope,facility,geometry,recall,precision,f1,auroc,margin_auroc,false_positive_rate
0,B3,unseen,standard,__all__,0.175,0.6176470588235294,0.2727272727272727,0.16069444444444447,0.16069444444444447,0.05
0,P1,unseen,standard,__all__,0.18333333333333332,,0.2875816993464052,0.16069444444444447,0.11927083333333333,0.04583333333333333
0,B1,unseen,standard,horizontal_new,0.25,,0.35294117647058826,0.18663194444444442,0.18663194444444442,0.08333333333333333
0,B2,unseen,standard,horizontal_new,0.16666666666666666,,0.2857142857142857,0.13107638888888884,0.13107638888888884,0.0
0,B3,unseen,standard,horizontal_new,0.25,,0.35294117647058826,0.13107638888888884,0.13107638888888884,0.08333333333333333
0,P1,unseen,standard,horizontal_new,0.20833333333333334,,0.3125,0.13107638888888884,0.05989583333333337,0.0625
0,B1,unseen,standard,low_new,0.16666666666666666,,0.25806451612903225,0.23697916666666663,0.23697916666666663,0.0625
0,B2,unseen,standard,low_new,0.08333333333333333,,0.14814814814814814,0.18055555555555558,0.18055555555555558,0.020833333333333332
0,B3,unseen,standard,low_new,0.16666666666666666,,0.25,0.18055555555555558,0.18055555555555558,0.08333333333333333
0,P1,unseen,standard,low_new,0.20833333333333334,,0.30303030303030304,0.18055555555555558,0.15885416666666663,0.08333333333333333
0,B1,unseen,standard,two_new,0.16666666666666666,,0.27586206896551724,0.22569444444444442,0.22569444444444442,0.020833333333333332
0,B2,unseen,standard,two_new,0.041666666666666664,,0.08,0.15017361111111116,0.15017361111111116,0.0
0,B3,unseen,standard,two_new,0.16666666666666666,,0.27586206896551724,0.15017361111111116,0.15017361111111116,0.020833333333333332
0,P1,unseen,standard,two_new,0.16666666666666666,,0.27586206896551724,0.15017361111111116,0.09722222222222221,0.020833333333333332
0,B1,unseen,standard,vertical_new,0.125,,0.2,0.20225694444444442,0.20225694444444442,0.0625
0,B2,unseen,standard,vertical_new,0.125,,0.2222222222222222,0.17447916666666663,0.17447916666666663,0.0
0,B3,unseen,standard,vertical_new,0.16666666666666666,,0.26666666666666666,0.17447916666666663,0.17447916666666663,0.041666666666666664
0,P1,unseen,standard,vertical_new,0.20833333333333334,,0.3333333333333333,0.17447916666666663,0.140625,0.020833333333333332
0,B1,unseen,standard,wide_new,0.08333333333333333,,0.14814814814814814,0.2881944444444444,0.2881944444444444,0.020833333333333332
0,B2,unseen,standard,wide_new,0.125,,0.2222222222222222,0.19357638888888895,0.19357638888888895,0.0
0,B3,unseen,standard,wide_new,0.125,0.6,0.20689655172413793,0.19357638888888895,0.19357638888888895,0.020833333333333332
0,P1,unseen,standard,wide_new,0.125,,0.20689655172413793,0.19357638888888895,0.15625,0.041666666666666664
1,B1,all,__all__,__all__,0.2526041666666667,0.13088330109606705,0.3458444672833162,0.21221584743923605,0.21221584743923605,0.014322916666666668
1,B2,all,__all__,__all__,0.2604166666666667,0.3467354563244974,0.34407360106724805,0.16306559244791674,0.16306559244791674,-0.024739583333333336
1,B3,all,__all__,__all__,0.2578125,0.2660642570281124,0.3285167464114832,0.16306559244791674,0.16662936740451395,-0.006510416666666664
1,P1,all,__all__,__all__,0.2552083333333333,0.31293557708652053,0.33224766178516574,0.16306559244791674,0.1582099066840278,-0.016927083333333332
1,B1,seen,__all__,__all__,0.2569444444444445,0.18652037617554862,0.33198139091017537,0.21180555555555547,0.21180555555555547,-0.0034722222222222203
1,B2,seen,__all__,__all__,0.2777777777777778,0.34632034632034625,0.3537214443625645,0.15969810956790131,0.15969810956790131,-0.034722222222222224
