budget,seed,method,scope,facility,geometry,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
0.01,0,B1,unseen,__all__,two_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.5405815972222222,0.5405815972222222
0.01,0,B2,unseen,__all__,two_new,144,2,0,46,96,0.041666666666666664,1.0,0.08,0.0,0.5685763888888888,0.5685763888888888
0.01,0,B3,unseen,__all__,two_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.5685763888888888,0.5579427083333334
0.01,0,P1,unseen,__all__,two_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.5685763888888888,0.5653211805555556
0.01,0,B1,unseen,__all__,vertical_new,144,0,0,48,96,0.0,,0.0,0.0,0.5922309027777778,0.5922309027777778
0.01,0,B2,unseen,__all__,vertical_new,144,0,0,48,96,0.0,,0.0,0.0,0.6184895833333334,0.6184895833333334
0.01,0,B3,unseen,__all__,vertical_new,144,0,0,48,96,0.0,,0.0,0.0,0.6184895833333334,0.5842013888888888
0.01,0,P1,unseen,__all__,vertical_new,144,0,0,48,96,0.0,,0.0,0.0,0.6184895833333334,0.58203125
0.01,0,B1,unseen,__all__,wide_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.5366753472222222,0.5366753472222222
0.01,0,B2,unseen,__all__,wide_new,144,3,0,45,96,0.0625,1.0,0.11764705882352941,0.0,0.5514322916666666,0.5514322916666666
0.01,0,B3,unseen,__all__,wide_new,144,2,1,46,95,0.041666666666666664,0.6666666666666666,0.0784313725490196,0.010416666666666666,0.5514322916666666,0.5514322916666666
0.01,0,P1,unseen,__all__,wide_new,144,2,0,46,96,0.041666666666666664,1.0,0.08,0.0,0.5514322916666666,0.5388454861111112
0.01,0,B1,unseen,harsh,__all__,360,3,0,117,240,0.025,1.0,0.04878048780487805,0.0,0.5681597222222222,0.5681597222222222
0.01,0,B2,unseen,harsh,__all__,360,7,0,113,240,0.058333333333333334,1.0,0.11023622047244094,0.0,0.5792013888888888,0.5792013888888888
0.01,0,B3,unseen,harsh,__all__,360,4,0,116,240,0.03333333333333333,1.0,0.06451612903225806,0.0,0.5792013888888888,0.5792013888888888
0.01,0,P1,unseen,harsh,__all__,360,4,0,116,240,0.03333333333333333,1.0,0.06451612903225806,0.0,0.5792013888888888,0.5760763888888889
0.01,0,B1,unseen,harsh,horizontal_new,72,0,0,24,48,0.0,,0.0,0.0,0.5625,0.5625
0.01,0,B2,unseen,harsh,horizontal_new,72,0,0,24,48,0.0,,0.0,0.0,0.5763888888888888,0.5763888888888888
0.01,0,B3,unseen,harsh,horizontal_new,72,0,0,24,48,0.0,,0.0,0.0,0.5763888888888888,0.5763888888888888
0.01,0,P1,unseen,harsh,horizontal_new,72,0,0,24,48,0.0,,0.0,0.0,0.5763888888888888,0.5572916666666666
0.01,0,B1,unseen,harsh,low_new,72,1,0,23,48,0.041666666666666664,1.0,0.08,0.0,0.5842013888888888,0.5842013888888888
0.01,0,B2,unseen,harsh,low_new,72,2,0,22,48,0.08333333333333333,1.0,0.15384615384615385,0.0,0.6171875,0.6171875
0.01,0,B3,unseen,harsh,low_new,72,1,0,23,48,0.041666666666666664,1.0,0.08,0.0,0.6171875,0.6171875
0.01,0,P1,unseen,harsh,low_new,72,1,0,23,48,0.041666666666666664,1.0,0.08,0.0,0.6171875,0.6171875
0.01,0,B1,unseen,harsh,two_new,72,1,0,23,48,0.041666666666666664,1.0,0.08,0.0,0.5868055555555556,0.5868055555555556
0.01,0,B2,unseen,harsh,two_new,72,2,0,22,48,0.08333333333333333,1.0,0.15384615384615385,0.0,0.6041666666666666,0.6041666666666666
0.01,0,B3,unseen,harsh,two_new,72,1,0,23,48,0.041666666666666664,1.0,0.08,0.0,0.6041666666666666,0.6041666666666666
0.01,0,P1,unseen,harsh,two_new,72,1,0,23,48,0.041666666666666664,1.0,0.08,0.0,0.6041666666666666,0.6041666666666666
0.01,0,B1,unseen,harsh,vertical_new,72,0,0,24,48,0.0,,0.0,0.0,0.6293402777777778,0.6293402777777778
0.01,0,B2,unseen,harsh,vertical_new,72,0,0,24,48,0.0,,0.0,0.0,0.6354166666666666,0.6354166666666666
0.01,0,B3,unseen,harsh,vertical_new,72,0,0,24,48,0.0,,0.0,0.0,0.6354166666666666,0.6354166666666666
0.01,0,P1,unseen,harsh,vertical_new,72,0,0,24,48,0.0,,0.0,0.0,0.6354166666666666,0.6354166666666666
0.01,0,B1,unseen,harsh,wide_new,72,1,0,23,48,0.041666666666666664,1.0,0.08,0.0,0.5859375,0.5859375
0.01,0,B2,unseen,harsh,wide_new,72,3,0,21,48,0.125,1.0,0.2222222222222222,0.0,0.5894097222222222,0.5894097222222222
0.01,0,B3,unseen,harsh,wide_new,72,2,0,22,48,0.08333333333333333,1.0,0.15384615384615385,0.0,0.5894097222222222,0.5894097222222222
0.01,0,P1,unseen,harsh,wide_new,72,2,0,22,48,0.08333333333333333,1.0,0.15384615384615385,0.0,0.5894097222222222,0.5894097222222222
0.01,0,B1,unseen,standard,__all__,360,0,0,120,240,0.0,,0.0,0.0,0.5291319444444444,0.5291319444444444
0.01,0,B2,unseen,standard,__all__,360,0,0,120,240,0.0,,0.0,0.0,0.5604513888888889,0.5604513888888889
0.01,0,B3,unseen,standard,__all__,360,0,2,120,238,0.0,0.0,0.0,0.008333333333333333,0.5604513888888889,0.5604513888888889
0.01,0,P1,unseen,standard,__all__,360,0,0,120,240,0.0,,0.0,0.0,0.5604513888888889,0.5540972222222222
0.01,0,B1,unseen,standard,horizontal_new,72,0,0,24,48,0.0,,0.0,0.0,0.5746527777777778,0.5746527777777778
0.01,0,B2,unseen,standard,horizontal_new,72,0,0,24,48,0.0,,0.0,0.0,0.5503472222222222,0.5503472222222222
0.01,0,B3,unseen,standard,horizontal_new,72,0,0,24,48,0.0,,0.0,0.0,0.5503472222222222,0.5503472222222222
0.01,0,P1,unseen,standard,horizontal_new,72,0,0,24,48,0.0,,0.0,0.0,0.5503472222222222,0.6206597222222222
0.01,0,B1,unseen,standard,low_new,72,0,0,24,48,0.0,,0.0,0.0,0.5355902777777778,0.5355902777777778
0.01,0,B2,unseen,standard,low_new,72,0,0,24,48,0.0,,0.0,0.0,0.546875,0.546875
0.01,0,B3,unseen,standard,low_new,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.546875,0.546875
0.01,0,P1,unseen,standard,low_new,72,0,0,24,48,0.0,,0.0,0.0,0.546875,0.5625
0.01,0,B1,unseen,standard,two_new,72,0,0,24,48,0.0,,0.0,0.0,0.5295138888888888,0.5295138888888888
0.01,0,B2,unseen,standard,two_new,72,0,0,24,48,0.0,,0.0,0.0,0.5590277777777778,0.5590277777777778
0.01,0,B3,unseen,standard,two_new,72,0,0,24,48,0.0,,0.0,0.0,0.5590277777777778,0.5590277777777778
0.01,0,P1,unseen,standard,two_new,72,0,0,24,48,0.0,,0.0,0.0,0.5590277777777778,0.5607638888888888
0.01,0,B1,unseen,standard,vertical_new,72,0,0,24,48,0.0,,0.0,0.0,0.5616319444444444,0.5616319444444444
0.01,0,B2,unseen,standard,vertical_new,72,0,0,24,48,0.0,,0.0,0.0,0.6154513888888888,0.6154513888888888
0.01,0,B3,unseen,standard,vertical_new,72,0,0,24,48,0.0,,0.0,0.0,0.6154513888888888,0.6154513888888888
0.01,0,P1,unseen,standard,vertical_new,72,0,0,24,48,0.0,,0.0,0.0,0.6154513888888888,0.5390625
0.01,0,B1,unseen,standard,wide_new,72,0,0,24,48,0.0,,0.0,0.0,0.5034722222222222,0.5034722222222222
0.01,0,B2,unseen,standard,wide_new,72,0,0,24,48,0.0,,0.0,0.0,0.5434027777777778,0.5434027777777778
0.01,0,B3,unseen,standard,wide_new,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.5434027777777778,0.5434027777777778
