seed,budget,method,calibration_group,fallback,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
0,0.1,P1,1,False,268,9,17,81,161,0.1,0.34615384615384615,0.15517241379310345,0.09550561797752809,0.5390761548064918,0.5390761548064918
1,0.1,B1,all,False,432,17,28,127,260,0.11805555555555555,0.37777777777777777,0.17989417989417988,0.09722222222222222,0.568407600308642,0.568407600308642
1,0.1,B2,all,False,432,21,28,123,260,0.14583333333333334,0.42857142857142855,0.21761658031088082,0.09722222222222222,0.5979456018518519,0.5979456018518519
1,0.1,B3,harsh,False,216,16,14,56,130,0.2222222222222222,0.5333333333333333,0.3137254901960784,0.09722222222222222,0.6490162037037037,0.6490162037037037
1,0.1,B3,standard,False,216,8,14,64,130,0.1111111111111111,0.36363636363636365,0.1702127659574468,0.09722222222222222,0.5530478395061729,0.5530478395061729
1,0.1,P1,0,False,164,2,11,52,99,0.037037037037037035,0.15384615384615385,0.05970149253731343,0.1,0.557070707070707,0.557070707070707
1,0.1,P1,1,False,268,19,17,71,161,0.2111111111111111,0.5277777777777778,0.30158730158730157,0.09550561797752809,0.6343320848938826,0.6343320848938826
2,0.1,B1,all,False,432,34,28,110,260,0.2361111111111111,0.5483870967741935,0.3300970873786408,0.09722222222222222,0.7109375,0.7109375
2,0.1,B2,all,False,432,11,28,133,260,0.0763888888888889,0.28205128205128205,0.12021857923497267,0.09722222222222222,0.4934895833333333,0.4934895833333333
2,0.1,B3,harsh,False,216,8,14,64,130,0.1111111111111111,0.36363636363636365,0.1702127659574468,0.09722222222222222,0.5161072530864198,0.5161072530864198
2,0.1,B3,standard,False,216,7,14,65,130,0.09722222222222222,0.3333333333333333,0.15053763440860216,0.09722222222222222,0.44733796296296297,0.44733796296296297
2,0.1,P1,0,False,164,3,11,51,99,0.05555555555555555,0.21428571428571427,0.08823529411764706,0.1,0.4063973063973064,0.4063973063973064
2,0.1,P1,1,False,268,9,17,81,161,0.1,0.34615384615384615,0.15517241379310345,0.09550561797752809,0.5290886392009988,0.5290886392009988
3,0.1,B1,all,False,432,70,28,74,260,0.4861111111111111,0.7142857142857143,0.5785123966942148,0.09722222222222222,0.8269917052469136,0.8269917052469136
3,0.1,B2,all,False,432,27,28,117,260,0.1875,0.4909090909090909,0.271356783919598,0.09722222222222222,0.5717351466049383,0.5717351466049383
3,0.1,B3,harsh,False,216,16,14,56,130,0.2222222222222222,0.5333333333333333,0.3137254901960784,0.09722222222222222,0.6630015432098766,0.6630015432098766
3,0.1,B3,standard,False,216,9,14,63,130,0.125,0.391304347826087,0.18947368421052632,0.09722222222222222,0.46238425925925924,0.46238425925925924
3,0.1,P1,0,False,164,6,11,48,99,0.1111111111111111,0.35294117647058826,0.16901408450704225,0.1,0.431986531986532,0.431986531986532
3,0.1,P1,1,False,268,17,17,73,161,0.18888888888888888,0.5,0.27419354838709675,0.09550561797752809,0.6466916354556804,0.6466916354556804
4,0.1,B1,all,False,432,15,28,129,260,0.10416666666666667,0.3488372093023256,0.16042780748663102,0.09722222222222222,0.47393422067901236,0.47393422067901236
4,0.1,B2,all,False,432,21,28,123,260,0.14583333333333334,0.42857142857142855,0.21761658031088082,0.09722222222222222,0.47183641975308643,0.47183641975308643
4,0.1,B3,harsh,False,216,14,14,58,130,0.19444444444444445,0.5,0.28,0.09722222222222222,0.5393518518518519,0.5393518518518519
4,0.1,B3,standard,False,216,6,14,66,130,0.08333333333333333,0.3,0.13043478260869565,0.09722222222222222,0.3908179012345679,0.3908179012345679
4,0.1,P1,0,False,164,3,11,51,99,0.05555555555555555,0.21428571428571427,0.08823529411764706,0.1,0.34915824915824917,0.34915824915824917
4,0.1,P1,1,False,268,14,17,76,161,0.15555555555555556,0.45161290322580644,0.23140495867768596,0.09550561797752809,0.5320848938826467,0.5320848938826467
0,0.15,B1,all,False,432,19,43,125,245,0.13194444444444445,0.3064516129032258,0.18446601941747573,0.14930555555555555,0.48811246141975306,0.48811246141975306
0,0.15,B2,all,False,432,18,43,126,245,0.125,0.29508196721311475,0.17560975609756097,0.14930555555555555,0.5007716049382716,0.5007716049382716
0,0.15,B3,harsh,False,216,11,21,61,123,0.1527777777777778,0.34375,0.21153846153846154,0.14583333333333334,0.5384837962962963,0.5384837962962963
0,0.15,B3,standard,False,216,11,21,61,123,0.1527777777777778,0.34375,0.21153846153846154,0.14583333333333334,0.4554398148148148,0.4554398148148148
0,0.15,P1,0,False,164,8,16,46,94,0.14814814814814814,0.3333333333333333,0.20512820512820512,0.14545454545454545,0.419023569023569,0.419023569023569
0,0.15,P1,1,False,268,13,26,77,152,0.14444444444444443,0.3333333333333333,0.20155038759689922,0.14606741573033707,0.5390761548064918,0.5390761548064918
1,0.15,B1,all,False,432,38,43,106,245,0.2638888888888889,0.4691358024691358,0.3377777777777778,0.14930555555555555,0.568407600308642,0.568407600308642
1,0.15,B2,all,False,432,36,43,108,245,0.25,0.45569620253164556,0.32286995515695066,0.14930555555555555,0.5979456018518519,0.5979456018518519
1,0.15,B3,harsh,False,216,23,21,49,123,0.3194444444444444,0.5227272727272727,0.39655172413793105,0.14583333333333334,0.6490162037037037,0.6490162037037037
1,0.15,B3,standard,False,216,11,21,61,123,0.1527777777777778,0.34375,0.21153846153846154,0.14583333333333334,0.5530478395061729,0.5530478395061729
1,0.15,P1,0,False,164,8,16,46,94,0.14814814814814814,0.3333333333333333,0.20512820512820512,0.14545454545454545,0.557070707070707,0.557070707070707
1,0.15,P1,1,False,268,28,26,62,152,0.3111111111111111,0.5185185185185185,0.3888888888888889,0.14606741573033707,0.6343320848938826,0.6343320848938826
2,0.15,B1,all,False,432,58,43,86,245,0.4027777777777778,0.5742574257425742,0.47346938775510206,0.14930555555555555,0.7109375,0.7109375
2,0.15,B2,all,False,432,21,43,123,245,0.14583333333333334,0.328125,0.20192307692307693,0.14930555555555555,0.4934895833333333,0.4934895833333333
2,0.15,B3,harsh,False,216,9,21,63,123,0.125,0.3,0.17647058823529413,0.14583333333333334,0.5161072530864198,0.5161072530864198
2,0.15,B3,standard,False,216,10,21,62,123,0.1388888888888889,0.3225806451612903,0.1941747572815534,0.14583333333333334,0.44733796296296297,0.44733796296296297
2,0.15,P1,0,False,164,5,16,49,94,0.09259259259259259,0.23809523809523808,0.13333333333333333,0.14545454545454545,0.4063973063973064,0.4063973063973064
2,0.15,P1,1,False,268,11,26,79,152,0.12222222222222222,0.2972972972972973,0.1732283464566929,0.14606741573033707,0.5290886392009988,0.5290886392009988
3,0.15,B1,all,False,432,90,43,54,245,0.625,0.6766917293233082,0.6498194945848376,0.14930555555555555,0.8269917052469136,0.8269917052469136
3,0.15,B2,all,False,432,37,43,107,245,0.2569444444444444,0.4625,0.33035714285714285,0.14930555555555555,0.5717351466049383,0.5717351466049383
3,0.15,B3,harsh,False,216,22,21,50,123,0.3055555555555556,0.5116279069767442,0.3826086956521739,0.14583333333333334,0.6630015432098766,0.6630015432098766
3,0.15,B3,standard,False,216,12,21,60,123,0.16666666666666666,0.36363636363636365,0.22857142857142856,0.14583333333333334,0.46238425925925924,0.46238425925925924
3,0.15,P1,0,False,164,9,16,45,94,0.16666666666666666,0.36,0.22784810126582278,0.14545454545454545,0.431986531986532,0.431986531986532
3,0.15,P1,1,False,268,28,26,62,152,0.3111111111111111,0.5185185185185185,0.3888888888888889,0.14606741573033707,0.6466916354556804,0.6466916354556804
4,0.15,B1,all,False,432,19,43,125,245,0.13194444444444445,0.3064516129032258,0.18446601941747573,0.14930555555555555,0.47393422067901236,0.47393422067901236
4,0.15,B2,all,False,432,28,43,116,245,0.19444444444444445,0.39436619718309857,0.26046511627906976,0.14930555555555555,0.47183641975308643,0.47183641975308643
4,0.15,B3,harsh,False,216,14,21,58,123,0.19444444444444445,0.4,0.2616822429906542,0.14583333333333334,0.5393518518518519,0.5393518518518519
4,0.15,B3,standard,False,216,6,21,66,123,0.08333333333333333,0.2222222222222222,0.12121212121212122,0.14583333333333334,0.3908179012345679,0.3908179012345679
