budget,method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
0.01,B2,unseen,standard,two_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.5539930555555556,0.04250548172935763,5,0.5539930555555556,0.04250548172935763,5,0.0,0.0
0.01,B2,unseen,standard,vertical_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5612847222222223,0.07136187525946777,5,0.5612847222222223,0.07136187525946777,5,0.004166666666666667,0.009316949906249124
0.01,B2,unseen,standard,wide_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5338541666666667,0.045438376139938896,5,0.5338541666666667,0.045438376139938896,5,0.004166666666666667,0.009316949906249124
0.01,B3,all,__all__,__all__,5,5,0.02760416666666667,0.006536406457297465,5,0.7086538461538462,0.09926458502525803,5,0.05312090680100756,0.012393463542105491,5,0.5878421359592014,0.06284760740462442,5,0.5833279079861111,0.05637221586633899,5,0.0054687500000000005,0.0014263608268363704
0.01,B3,seen,__all__,__all__,5,5,0.04444444444444444,0.01261520980873955,5,0.6476190476190476,0.07270681659334509,5,0.0829942165353151,0.02256754478376172,5,0.5989631558641976,0.07185078481948656,5,0.5967110339506172,0.0667941054951723,5,0.011805555555555555,0.0031056499687497087
0.01,B3,seen,__all__,central_furniture,5,5,0.04166666666666667,0.020833333333333336,5,0.8333333333333333,0.1559023911155809,5,0.07816665127589498,0.03728443810527593,5,0.5996961805555555,0.07260608224821333,5,0.6035156249999999,0.06634789301071528,5,0.00625,0.00570544330734548
0.01,B3,seen,__all__,clear,5,5,0.09166666666666666,0.056288567025442895,5,0.6012121212121213,0.18046974721608816,5,0.15558858017143537,0.08804573387391428,5,0.6095486111111111,0.08334878848834244,5,0.61796875,0.07534189669319667,5,0.02708333333333333,0.015797657175107397
0.01,B3,seen,__all__,vertical_mid,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.6259114583333333,0.055169651387412484,5,0.5874565972222222,0.060669453216510655,5,0.0020833333333333333,0.004658474953124562
0.01,B3,seen,harsh,__all__,5,5,0.08888888888888888,0.0252304196174791,5,0.8914285714285715,0.12396510371380938,5,0.16025038967142607,0.041097991585075884,5,0.6441743827160493,0.09170479346877043,5,0.6441743827160493,0.09170479346877043,5,0.006944444444444445,0.008505172717997146
0.01,B3,seen,harsh,central_furniture,5,5,0.08333333333333334,0.04166666666666667,5,0.95,0.11180339887498948,5,0.15007081807081807,0.06921609326477667,5,0.656423611111111,0.09018048643729061,5,0.656423611111111,0.09018048643729061,5,0.004166666666666667,0.009316949906249124
0.01,B3,seen,harsh,clear,5,5,0.18333333333333332,0.11257713405088579,5,0.9111111111111111,0.14487116456005888,5,0.2872842712842713,0.15170989148081485,5,0.6739583333333334,0.09990297484900316,5,0.6739583333333334,0.09990297484900316,5,0.016666666666666666,0.027163343355011037
0.01,B3,seen,harsh,vertical_mid,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6796875,0.057021405902482586,5,0.6796875,0.057021405902482586,5,0.0,0.0
0.01,B3,seen,standard,__all__,5,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.5566358024691358,0.0617957757608842,5,0.5566358024691358,0.0617957757608842,5,0.01666666666666667,0.0038036288715636536
0.01,B3,seen,standard,central_furniture,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.5545138888888889,0.05277463669380946,5,0.5545138888888889,0.05277463669380946,5,0.008333333333333333,0.01141088661469096
0.01,B3,seen,standard,clear,5,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.5614583333333333,0.058241935052414685,5,0.5614583333333333,0.058241935052414685,5,0.03749999999999999,0.009316949906249124
0.01,B3,seen,standard,vertical_mid,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5682291666666666,0.08451090378070622,5,0.5682291666666666,0.08451090378070622,5,0.004166666666666667,0.009316949906249124
0.01,B3,unseen,__all__,__all__,5,5,0.017499999999999998,0.009033118078616167,5,0.8761904761904763,0.170367083999984,5,0.03415439150774194,0.017468196974884265,5,0.5821805555555556,0.057575333295492935,5,0.5755,0.050109293075554645,5,0.0016666666666666666,0.002282177322938192
0.01,B3,unseen,__all__,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.5832899305555556,0.054849246173238955,5,0.5520833333333334,0.03554823959105776,5,0.0,0.0
0.01,B3,unseen,__all__,low_new,5,5,0.03333333333333333,0.018633899812498248,5,0.9,0.22360679774997902,5,0.06385594237695078,0.03458637227468291,5,0.6006510416666668,0.07355000580810055,5,0.6037326388888888,0.0650200194044721,5,0.0020833333333333333,0.004658474953124562
0.01,B3,unseen,__all__,two_new,5,5,0.024999999999999998,0.01743041721945991,4,,,5,0.0483265306122449,0.03337168417171175,5,0.5809461805555556,0.05507900570338252,5,0.5827256944444446,0.04824824456995581,5,0.0,0.0
0.01,B3,unseen,__all__,vertical_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.6202690972222222,0.04860587924474473,5,0.581640625,0.05170885885926037,5,0.0020833333333333333,0.004658474953124562
0.01,B3,unseen,__all__,wide_new,5,5,0.029166666666666667,0.018633899812498245,4,,,5,0.05553581432573029,0.03517029836093882,5,0.5714409722222223,0.05720063758171348,5,0.5762586805555555,0.047825991333043265,5,0.004166666666666667,0.00570544330734548
0.01,B3,unseen,harsh,__all__,5,5,0.034999999999999996,0.018066236157232334,5,1.0,0.0,5,0.06715948083135836,0.03390395319546316,5,0.6141666666666666,0.07458925753680605,5,0.6141666666666666,0.07458925753680605,5,0.0,0.0
0.01,B3,unseen,harsh,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.609548611111111,0.06656180718210122,5,0.609548611111111,0.06656180718210122,5,0.0,0.0
0.01,B3,unseen,harsh,low_new,5,5,0.06666666666666667,0.037267799624996496,5,1.0,0.0,5,0.12321367521367521,0.06392047071230769,5,0.6421875000000001,0.08372439708499174,5,0.6421875000000001,0.08372439708499174,5,0.0,0.0
0.01,B3,unseen,harsh,two_new,5,5,0.049999999999999996,0.03486083443891982,4,,,5,0.09353846153846154,0.06401183322557955,5,0.6220486111111111,0.07095683847460882,5,0.6220486111111111,0.07095683847460882,5,0.0,0.0
0.01,B3,unseen,harsh,vertical_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6753472222222222,0.05141351699639184,5,0.6753472222222222,0.05141351699639184,5,0.0,0.0
0.01,B3,unseen,harsh,wide_new,5,5,0.058333333333333334,0.03726779962499649,4,,,5,0.1083076923076923,0.06847104514806707,5,0.6222222222222221,0.07251096211426318,5,0.6222222222222221,0.07251096211426318,5,0.0,0.0
0.01,B3,unseen,standard,__all__,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.5536805555555555,0.05471059917806457,5,0.5536805555555555,0.05471059917806457,5,0.003333333333333333,0.004564354645876384
0.01,B3,unseen,standard,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.5614583333333334,0.06859671376017941,5,0.5614583333333334,0.06859671376017941,5,0.0,0.0
0.01,B3,unseen,standard,low_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5727430555555555,0.05678768756779801,5,0.5727430555555555,0.05678768756779801,5,0.004166666666666667,0.009316949906249124
0.01,B3,unseen,standard,two_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.5539930555555556,0.04250548172935763,5,0.5539930555555556,0.04250548172935763,5,0.0,0.0
0.01,B3,unseen,standard,vertical_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5612847222222223,0.07136187525946777,5,0.5612847222222223,0.07136187525946777,5,0.004166666666666667,0.009316949906249124
0.01,B3,unseen,standard,wide_new,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.5338541666666667,0.045438376139938896,5,0.5338541666666667,0.045438376139938896,5,0.008333333333333333,0.01141088661469096
0.01,P1,all,__all__,__all__,5,5,0.02760416666666667,0.006536406457297465,5,0.7360180995475113,0.08317541260734741,5,0.053149861859052835,0.012275887089028966,5,0.5878421359592014,0.06284760740462442,5,0.5813035753038195,0.05794370012827513,5,0.004947916666666667,0.00169770895968819
0.01,P1,seen,__all__,__all__,5,5,0.04444444444444444,0.01261520980873955,5,0.6551282051282052,0.04164200453567103,5,0.08291786994072495,0.022186710219437872,5,0.5989631558641976,0.07185078481948656,5,0.5895447530864197,0.0689367895628594,5,0.011805555555555555,0.003958942448260896
