budget,seed,scope,facility,geometry,method,recall,precision,f1,auroc,margin_auroc,false_positive_rate
0.01,1,unseen,harsh,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1,unseen,harsh,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1,unseen,harsh,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0.01,1,unseen,harsh,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1,unseen,standard,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.00940972222222225,0.0
0.01,1,unseen,standard,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.03645833333333326,0.0
0.01,1,unseen,standard,low_new,P1_minus_B3,0.0,,0.0,0.0,0.00694444444444442,0.0
0.01,1,unseen,standard,two_new,P1_minus_B3,0.0,,0.0,0.0,0.00347222222222221,0.0
0.01,1,unseen,standard,vertical_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.01475694444444442,0.0
0.01,1,unseen,standard,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,-0.01388888888888884,0.0
0.01,2,all,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.007232666015625,0.0
0.01,2,seen,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.017698688271604923,0.0
0.01,2,seen,__all__,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,-0.01888020833333337,0.0
0.01,2,seen,__all__,clear,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0032552083333333703,0.0
0.01,2,seen,__all__,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.00434027777777779,0.0
0.01,2,seen,harsh,__all__,P1_minus_B3,0.0,-0.1071428571428571,-0.0018987341772152,0.0,-0.002411265432098797,0.006944444444444444
0.01,2,seen,harsh,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2,seen,harsh,clear,P1_minus_B3,0.0,-0.25,-0.007936507936507936,0.0,-0.0060763888888888395,0.020833333333333332
0.01,2,seen,harsh,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0.01,2,seen,standard,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.042727623456790154,-0.006944444444444444
0.01,2,seen,standard,central_furniture,P1_minus_B3,0.0,,0.0,0.0,-0.07118055555555558,0.0
0.01,2,seen,standard,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.00347222222222221,-0.020833333333333332
0.01,2,seen,standard,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.06770833333333331,0.0
0.01,2,unseen,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.0003906250000000888,0.0
0.01,2,unseen,__all__,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.04058159722222221,0.0
0.01,2,unseen,__all__,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.01236979166666674,0.0
0.01,2,unseen,__all__,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.006727430555555469,0.0
0.01,2,unseen,__all__,vertical_new,P1_minus_B3,0.0,,0.0,0.0,-0.0026041666666667407,0.0
0.01,2,unseen,__all__,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0234375,0.0
0.01,2,unseen,harsh,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0040972222222221966,0.0
0.01,2,unseen,harsh,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,-0.03211805555555558,0.0
0.01,2,unseen,harsh,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2,unseen,harsh,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2,unseen,harsh,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0.01,2,unseen,harsh,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2,unseen,standard,__all__,P1_minus_B3,0.0,,0.0,0.0,-0.009687500000000071,0.0
0.01,2,unseen,standard,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.08159722222222221,0.0
0.01,2,unseen,standard,low_new,P1_minus_B3,0.0,,0.0,0.0,0.02690972222222221,0.0
0.01,2,unseen,standard,two_new,P1_minus_B3,0.0,,0.0,0.0,0.01649305555555558,0.0
0.01,2,unseen,standard,vertical_new,P1_minus_B3,0.0,,0.0,0.0,-0.07725694444444442,0.0
0.01,2,unseen,standard,wide_new,P1_minus_B3,0.0,,0.0,0.0,-0.07291666666666669,0.0
0.01,3,all,__all__,__all__,P1_minus_B3,0.0,-0.047794117647058876,-0.00016209476309227144,0.0,-0.008087158203125,0.001302083333333333
0.01,3,seen,__all__,__all__,P1_minus_B3,0.0,-0.05769230769230771,-0.0007349338559529683,0.0,-0.01649305555555558,0.003472222222222222
